id,created_at,picture,source,screen_name,name,text,time_zone,clean_text 
"639523109880639488",2015-09-03 00:00:00,http://pbs.twimg.com/profile_images/499451119207067649/tXFp6AHM_normal.jpeg,<a href="https://roundteam.co" rel="nofollow">RoundTeam</a>,astokohpemimpin,asisten,RT @Metro_TV: Ahok Jawab Tudingan Wakil Ketua DPRD DKI Taufik http://t.co/iMrCHlZxqN http://t.co/xpcPJcM8m7,None,RT @Metro_TV: Ahok Jawab Tudingan Wakil Ketua DPRD DKI Taufik http://t.co/iMrCHlZxqN http://t.co/xpcPJcM8m7
"639523120219459584",2015-09-03 00:00:00,http://pbs.twimg.com/profile_images/480562101727944706/ljhUcHXK_normal.jpeg,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,kakarivai,Bachtiar Rivai,RT @qaqqah: Altis mbok...Ngeri nih anggota dprd dki..Pasti bukan salah ahok..Pasti salah lulung.. Taufik dll..Ahok pasti gak tw ada pem,Jakarta,RT @qaqqah: Altis mbok...Ngeri nih anggota dprd dki..Pasti bukan salah ahok..Pasti salah lulung.. Taufik dll..Ahok pasti gak tw ada pem
"639523212016140288",2015-09-03 00:00:00,http://pbs.twimg.com/profile_images/639198955860029440/BPS3W_dY_normal.jpg,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,FranciaG_G,Francia Gmez,Voy a volver al Judo y debo comprar un judogui nuevo... 40mil uno completo. #AHOK.,Bogota,Voy a volver al Judo y debo comprar un judogui nuevo... 40mil uno completo. #AHOK.
"639523248691146753",2015-09-03 00:00:00,http://pbs.twimg.com/profile_images/525194980759842816/aUnD1REF_normal.jpeg,<a href="https://roundteam.co" rel="nofollow">RoundTeam</a>,TokohHebatIndo,Tokoh Hebat Indo,RT @Metro_TV: Ahok Jawab Tudingan Wakil Ketua DPRD DKI Taufik http://t.co/iMrCHlZxqN http://t.co/xpcPJcM8m7,None,RT @Metro_TV: Ahok Jawab Tudingan Wakil Ketua DPRD DKI Taufik http://t.co/iMrCHlZxqN http://t.co/xpcPJcM8m7
"639523355784269825",2015-09-03 00:00:00,http://pbs.twimg.com/profile_images/638326419328647168/mPKKBMs8_normal.jpg,<a href="http://www.google.com/" rel="nofollow">Google</a>,Breaking_News02,BreakingNews02,Berita 4 September 2015 - VIDEO Jokowi dan Ahok Reuni Gubernur dan Wakil Gubernur DKI: http://t.co/cincRoixCM via @YouTube,Pacific Time (US & Canada),Berita 4 September 2015 - VIDEO Jokowi dan Ahok Reuni Gubernur dan Wakil Gubernur DKI: http://t.co/cincRoixCM via @YouTube
"639524129725530112",2015-09-03 00:00:00,http://pbs.twimg.com/profile_images/638121563368255488/kh1I73Q6_normal.jpg,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,Afrizal089,Qanuni Bae,RT @Metro_TV: Ahok Jawab Tudingan Wakil Ketua DPRD DKI Taufik http://t.co/iMrCHlZxqN http://t.co/xpcPJcM8m7,None,RT @Metro_TV: Ahok Jawab Tudingan Wakil Ketua DPRD DKI Taufik http://t.co/iMrCHlZxqN http://t.co/xpcPJcM8m7
"639524227842834432",2015-09-03 00:00:00,http://pbs.twimg.com/profile_images/618862350066520064/ny8z-xSr_normal.jpg,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,rizkydarmwn,rizky darmawan,RT @Intelijen_: Sepak terjang Buwas bisa membahayakan posisi Jokowi terutama terkait kasus dugaan korupsi di Pemprov DKI saat Jokowi menja,None,RT @Intelijen_: Sepak terjang Buwas bisa membahayakan posisi Jokowi terutama terkait kasus dugaan korupsi di Pemprov DKI saat Jokowi menja
"639524233245143040",2015-09-03 00:00:00,http://pbs.twimg.com/profile_images/639161916514963456/kJv8FOvE_normal.jpg,<a href="http://blackberry.com/twitter" rel="nofollow">Twitter for BlackBerry®</a>,christian_cllt,Christian L L Tobing,@kilaindra79 Dukungan rakyat utk Jokowi sangat bnyk  kuat. Jokowi jg msh punya Ahok yg bisa dijadikan pasangan utk mnghabisi para koruptor.,None,@kilaindra79 Dukungan rakyat utk Jokowi sangat bnyk  kuat. Jokowi jg msh punya Ahok yg bisa dijadikan pasangan utk mnghabisi para koruptor.
"639524420286054401",2015-09-03 00:00:00,http://pbs.twimg.com/profile_images/638326419328647168/mPKKBMs8_normal.jpg,<a href="http://www.google.com/" rel="nofollow">Google</a>,Breaking_News02,BreakingNews02,Berita 4 September 2015 - VIDEO Jokowi dan Ahok Blusukan Bareng ke Tanjung Priok HEBOH: http://t.co/NStpmX5QVv via @YouTube,Pacific Time (US & Canada),Berita 4 September 2015 - VIDEO Jokowi dan Ahok Blusukan Bareng ke Tanjung Priok HEBOH: http://t.co/NStpmX5QVv via @YouTube
"639524499826696193",2015-09-03 00:00:00,http://pbs.twimg.com/profile_images/618862350066520064/ny8z-xSr_normal.jpg,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,rizkydarmwn,rizky darmawan,RT @TwitAjah: Ahok bakalan tertawa terbahak2 sambil teriak BPK Bangsat ! https://t.co/DwurFIVyr9,None,RT @TwitAjah: Ahok bakalan tertawa terbahak2 sambil teriak BPK Bangsat ! https://t.co/DwurFIVyr9
